Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Simei,2021,6,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,6,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,6,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,6,4,     3.2,     3.2,     3.2,     3.2,-,-,-,-,-
Simei,2021,6,5,    16.4,    16.4,    16.4,    16.4,-,-,-,-,-
Simei,2021,6,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,6,7,     2.2,     2.2,     2.2,     2.2,-,-,-,-,-
Simei,2021,6,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,6,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,6,10,     0.8,     0.6,     0.8,     0.8,-,-,-,-,-
Simei,2021,6,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,6,12,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Simei,2021,6,13,    39.8,    35.2,    39.6,    39.6,-,-,-,-,-
Simei,2021,6,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,6,15,     4.2,     2.0,     2.0,     2.4,-,-,-,-,-
Simei,2021,6,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,6,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,6,18,    49.2,    20.0,    34.4,    44.2,-,-,-,-,-
Simei,2021,6,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,6,20,     8.4,     6.6,     7.4,     8.4,-,-,-,-,-
Simei,2021,6,21,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Simei,2021,6,22,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Simei,2021,6,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,6,24,     4.4,     1.6,     2.4,     3.6,-,-,-,-,-
Simei,2021,6,25,     4.2,     2.4,     3.8,     4.2,-,-,-,-,-
Simei,2021,6,26,     2.8,     2.2,     2.4,     2.8,-,-,-,-,-
Simei,2021,6,27,     0.6,     0.4,     0.4,     0.6,-,-,-,-,-
Simei,2021,6,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,6,29,    36.6,     9.4,    11.2,    15.8,-,-,-,-,-
Simei,2021,6,30,     0.0,     0.4,     0.4,     7.6,-,-,-,-,-
