Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2022,12,1,    30.4,    14.0,    16.0,    19.2,-,-,-,-,-
Punggol,2022,12,2,    10.2,     7.0,     8.6,     9.0,-,-,-,-,-
Punggol,2022,12,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,12,4,     6.8,     2.4,     2.8,     3.6,-,-,-,-,-
Punggol,2022,12,5,     2.8,     2.4,     2.6,     2.8,-,-,-,-,-
Punggol,2022,12,6,     9.4,     8.0,     9.2,     9.2,-,-,-,-,-
Punggol,2022,12,7,     3.6,     3.4,     3.6,     3.6,-,-,-,-,-
Punggol,2022,12,8,     2.4,     0.6,     0.6,     1.0,-,-,-,-,-
Punggol,2022,12,9,     0.0,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2022,12,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,12,11,    81.4,    48.8,    64.0,    71.6,-,-,-,-,-
Punggol,2022,12,12,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Punggol,2022,12,13,     8.4,     1.8,     3.0,     4.6,-,-,-,-,-
Punggol,2022,12,14,     4.6,     1.2,     1.6,     1.8,-,-,-,-,-
Punggol,2022,12,15,     3.6,     0.6,     1.0,     1.6,-,-,-,-,-
Punggol,2022,12,16,     4.0,     3.8,     3.8,     4.0,-,-,-,-,-
Punggol,2022,12,17,    34.6,    14.0,    19.0,    26.0,-,-,-,-,-
Punggol,2022,12,18,    48.8,    18.4,    28.2,    47.8,-,-,-,-,-
Punggol,2022,12,19,     0.6,     0.2,     0.2,     0.4,-,-,-,-,-
Punggol,2022,12,20,     1.0,     0.8,     0.8,     1.0,-,-,-,-,-
Punggol,2022,12,21,     3.6,     3.4,     3.6,     3.6,-,-,-,-,-
Punggol,2022,12,22,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Punggol,2022,12,23,     1.0,     0.4,     0.4,     0.4,-,-,-,-,-
Punggol,2022,12,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,12,25,    11.2,     8.0,    11.2,    11.2,-,-,-,-,-
Punggol,2022,12,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,12,27,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2022,12,28,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2022,12,29,    17.0,    15.6,    15.6,    16.6,-,-,-,-,-
Punggol,2022,12,30,     0.0,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2022,12,31,     0.8,     0.4,     0.8,     0.8,-,-,-,-,-
