Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2021,6,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,6,2,     8.8,     4.8,     8.8,     8.8,-,-,-,-,-
Punggol,2021,6,3,     6.0,     3.0,     3.0,     3.0,-,-,-,-,-
Punggol,2021,6,4,    12.2,    12.2,    12.2,    12.2,-,-,-,-,-
Punggol,2021,6,5,     2.8,     2.8,     2.8,     2.8,-,-,-,-,-
Punggol,2021,6,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,6,7,    24.0,    10.6,    13.0,    22.0,-,-,-,-,-
Punggol,2021,6,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,6,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,6,10,     3.0,     2.4,     2.4,     2.4,-,-,-,-,-
Punggol,2021,6,11,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2021,6,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,6,13,     8.6,     7.2,     7.2,     8.6,-,-,-,-,-
Punggol,2021,6,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,6,15,     5.2,     3.2,     5.0,     5.2,-,-,-,-,-
Punggol,2021,6,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,6,17,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Punggol,2021,6,18,    16.2,     4.6,     5.4,     9.6,-,-,-,-,-
Punggol,2021,6,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,6,20,     1.2,     0.6,     0.6,     1.0,-,-,-,-,-
Punggol,2021,6,21,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2021,6,22,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Punggol,2021,6,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,6,24,     6.0,     4.0,     4.4,     4.6,-,-,-,-,-
Punggol,2021,6,25,    12.2,    11.6,    12.0,    12.2,-,-,-,-,-
Punggol,2021,6,26,    37.4,    31.6,    36.8,    37.4,-,-,-,-,-
Punggol,2021,6,27,     7.6,     7.4,     7.4,     7.4,-,-,-,-,-
Punggol,2021,6,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,6,29,    12.2,     5.8,     8.0,     9.8,-,-,-,-,-
Punggol,2021,6,30,     0.0,     0.0,     0.0,     1.2,-,-,-,-,-
