Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Simei,2022,4,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,4,2,    25.2,    16.8,    17.0,    17.0,-,-,-,-,-
Simei,2022,4,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,4,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,4,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,4,6,    46.4,    35.4,    37.2,    38.4,-,-,-,-,-
Simei,2022,4,7,-,-,-,-,-,-,-,-,-
Simei,2022,4,8,     0.0,-,-,-,-,-,-,-,-
Simei,2022,4,9,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Simei,2022,4,10,     5.6,     5.4,     5.4,     5.6,-,-,-,-,-
Simei,2022,4,11,     9.2,     5.6,     7.0,     8.4,-,-,-,-,-
Simei,2022,4,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,4,13,     1.2,     1.2,     1.2,     1.2,-,-,-,-,-
Simei,2022,4,14,     2.0,     1.6,     2.0,     2.0,-,-,-,-,-
Simei,2022,4,15,    28.0,    21.0,    27.0,    27.6,-,-,-,-,-
Simei,2022,4,16,     8.8,     8.0,     8.8,     8.8,-,-,-,-,-
Simei,2022,4,17,    28.0,    11.0,    18.4,    27.2,-,-,-,-,-
Simei,2022,4,18,    13.6,     4.6,     6.6,     7.8,-,-,-,-,-
Simei,2022,4,19,     3.2,     1.2,     1.8,     3.0,-,-,-,-,-
Simei,2022,4,20,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Simei,2022,4,21,    40.0,    20.6,    30.4,    36.6,-,-,-,-,-
Simei,2022,4,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,4,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,4,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,4,25,     3.8,     3.8,     3.8,     3.8,-,-,-,-,-
Simei,2022,4,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,4,27,    24.6,    23.0,    23.2,    23.6,-,-,-,-,-
Simei,2022,4,28,     3.6,     2.0,     3.0,     3.6,-,-,-,-,-
Simei,2022,4,29,     0.4,     0.2,     0.2,     0.4,-,-,-,-,-
Simei,2022,4,30,    12.8,     7.2,     7.2,     7.2,-,-,-,-,-
