Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2022,7,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,7,2,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2022,7,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,7,4,    19.2,    16.6,    18.6,    18.8,-,-,-,-,-
Punggol,2022,7,5,     9.8,     7.4,     8.8,     9.0,-,-,-,-,-
Punggol,2022,7,6,     0.0,     0.0,     0.2,     0.2,-,-,-,-,-
Punggol,2022,7,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,7,8,     5.2,     4.0,     5.0,     5.0,-,-,-,-,-
Punggol,2022,7,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,7,10,    11.4,    10.2,    11.4,    11.4,-,-,-,-,-
Punggol,2022,7,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,7,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,7,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,7,14,     3.8,     3.6,     3.6,     3.8,-,-,-,-,-
Punggol,2022,7,15,    11.4,     8.6,     8.8,     9.0,-,-,-,-,-
Punggol,2022,7,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,7,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,7,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,7,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,7,20,    26.0,    17.8,    19.8,    20.4,-,-,-,-,-
Punggol,2022,7,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,7,22,     2.0,     1.4,     2.0,     2.0,-,-,-,-,-
Punggol,2022,7,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,7,24,    10.8,     9.0,    10.4,    10.6,-,-,-,-,-
Punggol,2022,7,25,     4.0,     2.2,     2.4,     3.4,-,-,-,-,-
Punggol,2022,7,26,     3.2,     1.8,     1.8,     1.8,-,-,-,-,-
Punggol,2022,7,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,7,28,    20.6,    18.0,    19.0,    20.6,-,-,-,-,-
Punggol,2022,7,29,    13.6,     7.0,    11.6,    12.4,-,-,-,-,-
Punggol,2022,7,30,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Punggol,2022,7,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
