Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (Central),2022,5,1,     1.4,     0.6,     0.6,     0.6,-,-,-,-,-
Choa Chu Kang (Central),2022,5,2,     3.0,     2.4,     2.6,     2.8,-,-,-,-,-
Choa Chu Kang (Central),2022,5,3,    13.2,     8.2,    10.0,    12.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,4,    28.0,    11.0,    16.8,    19.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,7,    16.4,     7.2,     7.8,     9.4,-,-,-,-,-
Choa Chu Kang (Central),2022,5,8,     0.6,     0.2,     0.4,     0.4,-,-,-,-,-
Choa Chu Kang (Central),2022,5,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,11,     6.8,     3.6,     3.8,     4.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,14,    47.2,    22.8,    27.2,    27.2,-,-,-,-,-
Choa Chu Kang (Central),2022,5,15,     1.6,     1.6,     1.6,     1.6,-,-,-,-,-
Choa Chu Kang (Central),2022,5,16,    34.6,    14.2,    17.8,    21.2,-,-,-,-,-
Choa Chu Kang (Central),2022,5,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,19,    22.2,     8.6,    11.8,    13.8,-,-,-,-,-
Choa Chu Kang (Central),2022,5,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,23,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2022,5,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,25,     6.2,     4.4,     4.8,     5.6,-,-,-,-,-
Choa Chu Kang (Central),2022,5,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,5,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
