Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Simei,2022,11,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,11,2,     0.5,     0.5,     0.5,     0.5,-,-,-,-,-
Simei,2022,11,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,11,4,     1.0,     0.8,     1.0,     1.0,-,-,-,-,-
Simei,2022,11,5,    38.6,    25.0,    33.2,    36.0,-,-,-,-,-
Simei,2022,11,6,     0.6,     0.4,     0.4,     0.4,-,-,-,-,-
Simei,2022,11,7,    16.4,     9.2,    14.4,    16.2,-,-,-,-,-
Simei,2022,11,8,    16.4,    14.8,    15.4,    15.4,-,-,-,-,-
Simei,2022,11,9,     0.6,     0.4,     0.6,     0.6,-,-,-,-,-
Simei,2022,11,10,    15.6,     2.8,     4.8,     9.2,-,-,-,-,-
Simei,2022,11,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,11,12,   112.8,    43.4,    73.6,    95.2,-,-,-,-,-
Simei,2022,11,13,     3.2,     2.0,     2.0,     2.0,-,-,-,-,-
Simei,2022,11,14,     8.0,     2.4,     3.6,     5.6,-,-,-,-,-
Simei,2022,11,15,     4.2,     2.0,     3.2,     4.2,-,-,-,-,-
Simei,2022,11,16,    88.8,    34.8,    63.6,    86.0,-,-,-,-,-
Simei,2022,11,17,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Simei,2022,11,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,11,19,     5.4,     1.8,     3.4,     4.2,-,-,-,-,-
Simei,2022,11,20,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Simei,2022,11,21,     7.8,     7.6,     7.8,     7.8,-,-,-,-,-
Simei,2022,11,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,11,23,     7.0,     5.8,     6.0,     6.8,-,-,-,-,-
Simei,2022,11,24,     4.2,     4.2,     4.2,     4.2,-,-,-,-,-
Simei,2022,11,25,     5.6,     5.2,     8.4,     9.0,-,-,-,-,-
Simei,2022,11,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,11,27,     2.0,     0.8,     1.4,     1.8,-,-,-,-,-
Simei,2022,11,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,11,29,     1.0,     0.4,     0.8,     1.0,-,-,-,-,-
Simei,2022,11,30,    45.6,    23.6,    39.0,    44.6,-,-,-,-,-
