Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (Central),2022,2,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,2,2,     5.0,     4.6,     5.0,     5.0,-,-,-,-,-
Choa Chu Kang (Central),2022,2,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,2,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,2,5,     2.2,     1.6,     1.6,     1.6,-,-,-,-,-
Choa Chu Kang (Central),2022,2,6,    31.6,    18.2,    20.0,    24.6,-,-,-,-,-
Choa Chu Kang (Central),2022,2,7,     2.2,     1.2,     1.6,     2.0,-,-,-,-,-
Choa Chu Kang (Central),2022,2,8,     1.0,     0.4,     0.4,     0.4,-,-,-,-,-
Choa Chu Kang (Central),2022,2,9,    26.6,    13.4,    22.0,    24.8,-,-,-,-,-
Choa Chu Kang (Central),2022,2,10,    14.6,     3.2,     3.8,     4.2,-,-,-,-,-
Choa Chu Kang (Central),2022,2,11,     3.4,     3.4,     3.4,     3.4,-,-,-,-,-
Choa Chu Kang (Central),2022,2,12,    22.4,    14.8,    18.0,    22.0,-,-,-,-,-
Choa Chu Kang (Central),2022,2,13,    14.6,    14.2,    14.6,    14.6,-,-,-,-,-
Choa Chu Kang (Central),2022,2,14,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2022,2,15,     2.8,     2.6,     2.8,     2.8,-,-,-,-,-
Choa Chu Kang (Central),2022,2,16,     8.4,     7.6,     7.6,     8.0,-,-,-,-,-
Choa Chu Kang (Central),2022,2,17,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Choa Chu Kang (Central),2022,2,18,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Choa Chu Kang (Central),2022,2,19,     1.8,     1.8,     1.8,     1.8,-,-,-,-,-
Choa Chu Kang (Central),2022,2,20,    43.2,    39.8,    43.0,    43.2,-,-,-,-,-
Choa Chu Kang (Central),2022,2,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,2,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,2,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,2,24,    17.4,     4.8,     7.0,    11.4,-,-,-,-,-
Choa Chu Kang (Central),2022,2,25,     0.0,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2022,2,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,2,27,    18.8,    11.6,    13.4,    17.4,-,-,-,-,-
Choa Chu Kang (Central),2022,2,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
