Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (Central),2022,3,1,     3.6,     2.2,     2.2,     2.2,-,-,-,-,-
Choa Chu Kang (Central),2022,3,2,   110.2,    57.4,    82.0,   109.4,-,-,-,-,-
Choa Chu Kang (Central),2022,3,3,     8.2,     5.8,     5.8,     6.8,-,-,-,-,-
Choa Chu Kang (Central),2022,3,4,     0.0,     0.0,     0.0,     0.6,-,-,-,-,-
Choa Chu Kang (Central),2022,3,5,     1.4,     1.4,     1.4,     1.4,-,-,-,-,-
Choa Chu Kang (Central),2022,3,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,3,7,   116.2,    57.4,    92.6,   116.0,-,-,-,-,-
Choa Chu Kang (Central),2022,3,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,3,9,    12.0,     7.8,    10.0,    11.8,-,-,-,-,-
Choa Chu Kang (Central),2022,3,10,     5.2,     4.2,     4.4,     5.0,-,-,-,-,-
Choa Chu Kang (Central),2022,3,11,     2.2,     1.8,     1.8,     2.0,-,-,-,-,-
Choa Chu Kang (Central),2022,3,12,    19.8,     9.8,    10.0,    19.8,-,-,-,-,-
Choa Chu Kang (Central),2022,3,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,3,14,     1.8,     1.4,     1.6,     1.6,-,-,-,-,-
Choa Chu Kang (Central),2022,3,15,     5.8,     2.0,     3.0,     3.4,-,-,-,-,-
Choa Chu Kang (Central),2022,3,16,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Choa Chu Kang (Central),2022,3,17,     1.4,     1.2,     1.2,     1.2,-,-,-,-,-
Choa Chu Kang (Central),2022,3,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,3,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,3,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,3,21,     4.0,     1.8,     3.0,     3.4,-,-,-,-,-
Choa Chu Kang (Central),2022,3,22,     2.8,     2.4,     2.8,     2.8,-,-,-,-,-
Choa Chu Kang (Central),2022,3,23,    13.4,    12.8,    13.0,    13.4,-,-,-,-,-
Choa Chu Kang (Central),2022,3,24,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2022,3,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,3,26,     1.6,     1.6,     1.6,     1.6,-,-,-,-,-
Choa Chu Kang (Central),2022,3,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,3,28,     2.6,     2.4,     2.6,     2.6,-,-,-,-,-
Choa Chu Kang (Central),2022,3,29,    25.2,    14.0,    23.4,    25.2,-,-,-,-,-
Choa Chu Kang (Central),2022,3,30,     1.4,     1.4,     1.4,     1.4,-,-,-,-,-
Choa Chu Kang (Central),2022,3,31,     5.6,     5.4,     5.6,     5.6,-,-,-,-,-
