Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2022,8,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,8,2,    32.0,    13.2,    16.6,    19.8,-,-,-,-,-
Punggol,2022,8,3,    21.6,    14.0,    17.4,    21.2,-,-,-,-,-
Punggol,2022,8,4,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2022,8,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,8,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,8,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,8,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,8,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,8,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,8,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,8,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,8,13,     0.6,     0.4,     0.4,     0.6,-,-,-,-,-
Punggol,2022,8,14,     5.0,     4.2,     4.8,     5.0,-,-,-,-,-
Punggol,2022,8,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,8,16,     5.8,     5.8,     5.8,     5.8,-,-,-,-,-
Punggol,2022,8,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,8,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,8,19,     9.4,     7.6,     7.8,     7.8,-,-,-,-,-
Punggol,2022,8,20,     5.8,     3.6,     5.6,     5.6,-,-,-,-,-
Punggol,2022,8,21,     6.4,     3.0,     4.2,     5.8,-,-,-,-,-
Punggol,2022,8,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,8,23,    13.4,     6.4,     6.4,    10.2,-,-,-,-,-
Punggol,2022,8,24,    10.4,     9.8,    10.0,    10.4,-,-,-,-,-
Punggol,2022,8,25,    24.0,    14.8,    15.0,    15.0,-,-,-,-,-
Punggol,2022,8,26,     4.2,     1.6,     1.6,     1.8,-,-,-,-,-
Punggol,2022,8,27,    23.0,    18.6,    18.8,    19.6,-,-,-,-,-
Punggol,2022,8,28,     0.0,     0.0,     0.2,     0.6,-,-,-,-,-
Punggol,2022,8,29,    13.6,    10.0,    11.2,    11.6,-,-,-,-,-
Punggol,2022,8,30,     1.2,     0.8,     1.2,     1.2,-,-,-,-,-
Punggol,2022,8,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
