Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2021,3,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,7,    47.6,    31.8,    34.8,    39.2,-,-,-,-,-
Punggol,2021,3,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,12,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2021,3,13,    36.2,    23.0,    30.0,    34.4,-,-,-,-,-
Punggol,2021,3,14,     9.0,     6.6,     6.6,     8.8,-,-,-,-,-
Punggol,2021,3,15,     4.6,     3.8,     4.4,     4.4,-,-,-,-,-
Punggol,2021,3,16,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Punggol,2021,3,17,    27.2,    21.4,    27.0,    27.2,-,-,-,-,-
Punggol,2021,3,18,     6.2,     3.8,     4.8,     5.8,-,-,-,-,-
Punggol,2021,3,19,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2021,3,20,    17.0,    16.8,    17.0,    17.0,-,-,-,-,-
Punggol,2021,3,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,24,     9.2,     1.4,     2.2,     3.6,-,-,-,-,-
Punggol,2021,3,25,     1.0,     0.8,     0.8,     0.8,-,-,-,-,-
Punggol,2021,3,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,27,     5.2,     2.4,     3.8,     5.0,-,-,-,-,-
Punggol,2021,3,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,3,29,    27.6,    16.0,    23.0,    27.6,-,-,-,-,-
Punggol,2021,3,30,    27.8,    19.8,    26.8,    27.8,-,-,-,-,-
Punggol,2021,3,31,    27.8,    16.2,    25.0,    27.6,-,-,-,-,-
