Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2022,11,1,     0.0,     0.0,     0.0,     0.0,    27.9,    30.1,    25.6,     4.8,    36.7
Marina Barrage,2022,11,2,     0.0,     0.0,     0.0,     0.0,    28.8,    33.6,    25.9,     5.5,    26.7
Marina Barrage,2022,11,3,     1.0,     0.6,     0.8,     0.8,    28.1,    31.5,    25.7,     6.3,    20.6
Marina Barrage,2022,11,4,     1.6,     1.4,     1.6,     1.6,    29.2,    34.3,    25.1,     6.6,    31.3
Marina Barrage,2022,11,5,    35.0,    13.0,    22.6,    27.6,    25.7,    27.6,    22.6,     5.8,    56.1
Marina Barrage,2022,11,6,     0.0,     0.2,     0.2,     0.2,    27.6,    31.6,    25.2,     5.3,    34.6
Marina Barrage,2022,11,7,    20.0,     9.4,    12.6,    15.0,    27.0,    31.6,    24.1,     7.0,    32.8
Marina Barrage,2022,11,8,    17.4,    14.8,    16.8,    17.2,    26.9,    32.8,    23.9,     5.1,    37.4
Marina Barrage,2022,11,9,     0.0,     0.0,     0.0,     0.0,    26.8,    28.8,    24.6,     8.2,    28.2
Marina Barrage,2022,11,10,     8.4,     2.0,     3.4,     5.8,    27.1,    31.2,    24.5,     6.3,    25.9
Marina Barrage,2022,11,11,     0.4,     0.2,     0.2,     0.2,    27.6,    32.0,    25.0,     5.9,    22.6
Marina Barrage,2022,11,12,    21.0,     8.4,    15.2,    21.0,    26.8,    32.2,    24.7,     6.5,    22.4
Marina Barrage,2022,11,13,     0.0,     0.0,     0.0,     0.0,    27.4,    32.3,    24.9,     4.0,    18.7
Marina Barrage,2022,11,14,     7.2,     5.2,     5.8,     6.2,    27.6,    32.4,    23.6,     6.5,    35.9
Marina Barrage,2022,11,15,    11.2,     7.4,     9.8,    10.0,    28.0,    32.7,    24.0,     6.7,    38.5
Marina Barrage,2022,11,16,    19.2,    15.6,    16.6,    16.6,    27.8,    33.2,    24.7,     8.1,    44.6
Marina Barrage,2022,11,17,     2.0,     1.8,     2.0,     2.0,    28.0,    32.7,    24.3,     6.0,    24.8
Marina Barrage,2022,11,18,     0.0,     0.0,     0.0,     0.0,    29.1,    33.0,    26.5,     7.7,    28.2
Marina Barrage,2022,11,19,     6.4,     2.8,     4.0,     5.2,    26.5,    28.3,    23.6,     7.4,    40.4
Marina Barrage,2022,11,20,     0.8,     0.6,     0.6,     0.6,    27.8,    30.8,    24.9,     7.9,    32.8
Marina Barrage,2022,11,21,     0.6,     0.6,     0.6,     0.6,    28.9,    33.3,    24.4,     8.8,    37.0
Marina Barrage,2022,11,22,    13.0,    12.0,    12.8,    12.8,    29.8,    33.8,    24.8,     7.7,    42.0
Marina Barrage,2022,11,23,     1.2,     0.6,     1.0,     1.0,    27.7,    29.7,    24.6,     6.5,    46.1
Marina Barrage,2022,11,24,    14.6,     8.8,    14.6,    14.6,    29.1,    33.6,    24.2,     7.1,    38.5
Marina Barrage,2022,11,25,     7.4,     7.8,    16.6,    19.2,    28.3,    32.0,    24.2,     7.2,    26.7
Marina Barrage,2022,11,26,     0.6,     0.6,     0.6,     0.6,    28.8,    32.5,    26.9,     4.7,    20.9
Marina Barrage,2022,11,27,     1.4,     0.6,     0.8,     1.2,    26.8,    29.1,    24.6,     5.0,    42.4
Marina Barrage,2022,11,28,     3.8,     3.6,     3.8,     3.8,    27.8,    33.7,    25.5,     5.3,    32.4
Marina Barrage,2022,11,29,    26.2,    14.2,    15.6,    20.4,    27.0,    33.1,    23.1,     4.8,    48.2
Marina Barrage,2022,11,30,     9.4,     8.0,     8.4,     9.2,    27.3,    33.0,    23.6,     6.0,    40.4
