Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2022,2,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,2,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,2,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,2,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,2,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,2,6,    14.4,     2.4,     4.4,     6.6,-,-,-,-,-
Punggol,2022,2,7,     1.4,     0.8,     1.0,     1.4,-,-,-,-,-
Punggol,2022,2,8,     1.6,     0.4,     0.6,     1.0,-,-,-,-,-
Punggol,2022,2,9,    22.4,     7.4,     9.2,    10.2,-,-,-,-,-
Punggol,2022,2,10,    16.6,     2.2,     2.8,     4.6,-,-,-,-,-
Punggol,2022,2,11,    12.4,     7.2,    10.8,    11.4,-,-,-,-,-
Punggol,2022,2,12,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2022,2,13,     5.8,     1.8,     3.0,     4.0,-,-,-,-,-
Punggol,2022,2,14,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Punggol,2022,2,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,2,16,    14.6,     8.8,    12.6,    13.6,-,-,-,-,-
Punggol,2022,2,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,2,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,2,19,     6.2,     6.2,     6.2,     6.2,-,-,-,-,-
Punggol,2022,2,20,    14.6,    11.2,    11.8,    14.6,-,-,-,-,-
Punggol,2022,2,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,2,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,2,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,2,24,    16.2,     6.0,     8.8,     9.6,-,-,-,-,-
Punggol,2022,2,25,    40.4,    36.6,    40.4,    40.4,-,-,-,-,-
Punggol,2022,2,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,2,27,    46.8,    24.6,    31.2,    46.8,-,-,-,-,-
Punggol,2022,2,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
