Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (Central),2022,11,1,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2022,11,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,11,3,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2022,11,4,    25.6,    12.0,    17.2,    17.2,-,-,-,-,-
Choa Chu Kang (Central),2022,11,5,    21.4,    14.8,    23.2,    25.0,-,-,-,-,-
Choa Chu Kang (Central),2022,11,6,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2022,11,7,     9.0,     4.4,     6.0,     7.4,-,-,-,-,-
Choa Chu Kang (Central),2022,11,8,    22.0,     9.6,    17.4,    21.6,-,-,-,-,-
Choa Chu Kang (Central),2022,11,9,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2022,11,10,    28.0,    19.4,    19.4,    19.4,-,-,-,-,-
Choa Chu Kang (Central),2022,11,11,     4.8,     2.6,     2.6,     2.8,-,-,-,-,-
Choa Chu Kang (Central),2022,11,12,    25.8,    13.2,    16.2,    19.6,-,-,-,-,-
Choa Chu Kang (Central),2022,11,13,     8.4,     4.0,     5.6,     5.8,-,-,-,-,-
Choa Chu Kang (Central),2022,11,14,    67.6,    38.6,    54.2,    64.2,-,-,-,-,-
Choa Chu Kang (Central),2022,11,15,     5.6,     4.4,     5.0,     5.4,-,-,-,-,-
Choa Chu Kang (Central),2022,11,16,     2.6,     0.8,     1.0,     1.4,-,-,-,-,-
Choa Chu Kang (Central),2022,11,17,     1.2,     1.0,     1.0,     1.2,-,-,-,-,-
Choa Chu Kang (Central),2022,11,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,11,19,     8.0,     1.8,     2.8,     4.4,-,-,-,-,-
Choa Chu Kang (Central),2022,11,20,     1.8,     1.0,     1.4,     1.8,-,-,-,-,-
Choa Chu Kang (Central),2022,11,21,     1.0,     0.6,     1.0,     1.0,-,-,-,-,-
Choa Chu Kang (Central),2022,11,22,     1.2,     1.2,     1.2,     1.2,-,-,-,-,-
Choa Chu Kang (Central),2022,11,23,     3.4,     1.6,     2.0,     3.2,-,-,-,-,-
Choa Chu Kang (Central),2022,11,24,    39.4,    24.0,    39.4,    39.4,-,-,-,-,-
Choa Chu Kang (Central),2022,11,25,     7.2,    14.0,    37.0,    44.8,-,-,-,-,-
Choa Chu Kang (Central),2022,11,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,11,27,     4.8,     4.2,     4.2,     4.2,-,-,-,-,-
Choa Chu Kang (Central),2022,11,28,     7.6,     5.0,     6.8,     7.4,-,-,-,-,-
Choa Chu Kang (Central),2022,11,29,    38.6,    29.2,    38.4,    38.6,-,-,-,-,-
Choa Chu Kang (Central),2022,11,30,    32.6,    25.8,    28.6,    30.2,-,-,-,-,-
