Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (Central),2021,8,1,    76.4,    37.8,    52.6,    76.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,2,     6.0,     2.6,     4.8,     5.8,-,-,-,-,-
Choa Chu Kang (Central),2021,8,3,    17.2,    14.8,    17.0,    17.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,4,     3.8,     2.2,     3.2,     3.8,-,-,-,-,-
Choa Chu Kang (Central),2021,8,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,7,     1.0,     0.8,     1.0,     1.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,8,     1.8,     1.2,     1.2,     1.2,-,-,-,-,-
Choa Chu Kang (Central),2021,8,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,12,    13.4,    11.8,    12.2,    12.2,-,-,-,-,-
Choa Chu Kang (Central),2021,8,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,14,    59.2,    36.6,    39.0,    43.4,-,-,-,-,-
Choa Chu Kang (Central),2021,8,15,     6.0,     3.2,     3.2,     3.6,-,-,-,-,-
Choa Chu Kang (Central),2021,8,16,     0.6,     0.4,     0.4,     1.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,17,     2.6,     1.2,     2.0,     2.6,-,-,-,-,-
Choa Chu Kang (Central),2021,8,18,    10.8,    10.0,    10.6,    10.6,-,-,-,-,-
Choa Chu Kang (Central),2021,8,19,    19.8,     3.4,     5.6,     8.8,-,-,-,-,-
Choa Chu Kang (Central),2021,8,20,   111.4,    64.8,    95.8,   109.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,22,     1.8,     1.0,     1.2,     1.4,-,-,-,-,-
Choa Chu Kang (Central),2021,8,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,24,   143.6,    42.6,    62.4,    73.2,-,-,-,-,-
Choa Chu Kang (Central),2021,8,25,    19.4,    19.2,    19.4,    19.4,-,-,-,-,-
Choa Chu Kang (Central),2021,8,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,29,    67.0,    35.4,    52.2,    63.0,-,-,-,-,-
Choa Chu Kang (Central),2021,8,30,    88.6,    45.8,    62.2,    66.6,-,-,-,-,-
Choa Chu Kang (Central),2021,8,31,    52.0,    21.8,    37.6,    50.4,-,-,-,-,-
