Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2021,4,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,4,2,    22.0,    17.6,    21.4,    21.4,-,-,-,-,-
Punggol,2021,4,3,     5.4,     2.8,     4.6,     5.0,-,-,-,-,-
Punggol,2021,4,4,    22.6,     7.2,    11.6,    12.2,-,-,-,-,-
Punggol,2021,4,5,    59.8,    46.8,    55.2,    57.6,-,-,-,-,-
Punggol,2021,4,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,4,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,4,8,    16.2,    12.2,    12.8,    16.2,-,-,-,-,-
Punggol,2021,4,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,4,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,4,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,4,12,    13.2,    12.2,    13.2,    13.2,-,-,-,-,-
Punggol,2021,4,13,     4.2,     4.0,     4.0,     4.0,-,-,-,-,-
Punggol,2021,4,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,4,15,    58.8,    34.2,    48.2,    53.0,-,-,-,-,-
Punggol,2021,4,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,4,17,    94.4,    32.4,    39.4,    62.6,-,-,-,-,-
Punggol,2021,4,18,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Punggol,2021,4,19,     4.6,     4.6,     4.6,     4.6,-,-,-,-,-
Punggol,2021,4,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,4,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,4,22,     4.8,     1.6,     2.6,     3.4,-,-,-,-,-
Punggol,2021,4,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,4,24,    12.8,     3.4,     5.0,     7.4,-,-,-,-,-
Punggol,2021,4,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,4,26,    31.0,    14.4,    23.8,    31.0,-,-,-,-,-
Punggol,2021,4,27,     8.2,     7.0,     8.2,     8.2,-,-,-,-,-
Punggol,2021,4,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,4,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,4,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
