Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (Central),2021,7,1,     1.0,     0.8,     0.8,     0.8,-,-,-,-,-
Choa Chu Kang (Central),2021,7,2,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Choa Chu Kang (Central),2021,7,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,4,     3.4,     1.0,     1.4,     2.4,-,-,-,-,-
Choa Chu Kang (Central),2021,7,5,-,-,-,-,-,-,-,-,-
Choa Chu Kang (Central),2021,7,6,     8.8,     5.4,     5.4,     8.6,-,-,-,-,-
Choa Chu Kang (Central),2021,7,7,-,-,-,-,-,-,-,-,-
Choa Chu Kang (Central),2021,7,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,9,     5.6,     3.0,     4.6,     5.6,-,-,-,-,-
Choa Chu Kang (Central),2021,7,10,-,-,-,-,-,-,-,-,-
Choa Chu Kang (Central),2021,7,11,    16.0,    11.0,    11.4,    11.4,-,-,-,-,-
Choa Chu Kang (Central),2021,7,12,    46.2,    18.2,    26.0,    29.6,-,-,-,-,-
Choa Chu Kang (Central),2021,7,13,-,-,-,-,-,-,-,-,-
Choa Chu Kang (Central),2021,7,14,     0.0,-,-,-,-,-,-,-,-
Choa Chu Kang (Central),2021,7,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,23,     0.4,     0.2,     0.2,     0.4,-,-,-,-,-
Choa Chu Kang (Central),2021,7,24,     0.0,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2021,7,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,27,     4.6,     4.6,     4.6,     4.6,-,-,-,-,-
Choa Chu Kang (Central),2021,7,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,7,31,    27.4,    18.0,    21.0,    23.8,-,-,-,-,-
