Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2022,1,1,     5.4,     1.4,     1.8,     1.8,-,-,-,-,-
Punggol,2022,1,2,    76.8,    21.2,    36.8,    44.0,-,-,-,-,-
Punggol,2022,1,3,     9.2,     8.4,     8.4,     8.6,-,-,-,-,-
Punggol,2022,1,4,    17.6,    13.0,    13.8,    14.6,-,-,-,-,-
Punggol,2022,1,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,8,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2022,1,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,19,     7.4,     6.2,     7.2,     7.2,-,-,-,-,-
Punggol,2022,1,20,     1.8,     1.8,     1.8,     1.8,-,-,-,-,-
Punggol,2022,1,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2022,1,30,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Punggol,2022,1,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
