Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Simei,2021,4,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,4,2,    84.8,    43.4,    67.0,    78.6,-,-,-,-,-
Simei,2021,4,3,     7.0,     3.4,     3.6,     5.6,-,-,-,-,-
Simei,2021,4,4,    29.0,    10.6,    15.8,    17.4,-,-,-,-,-
Simei,2021,4,5,    59.8,    50.8,    57.4,    57.8,-,-,-,-,-
Simei,2021,4,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,4,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,4,8,     6.8,     3.6,     5.4,     6.8,-,-,-,-,-
Simei,2021,4,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,4,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,4,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,4,12,    15.6,    15.0,    15.0,    15.0,-,-,-,-,-
Simei,2021,4,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,4,14,     6.8,     6.4,     6.8,     6.8,-,-,-,-,-
Simei,2021,4,15,    15.8,     6.2,    11.8,    12.6,-,-,-,-,-
Simei,2021,4,16,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Simei,2021,4,17,    72.6,    23.4,    33.2,    39.2,-,-,-,-,-
Simei,2021,4,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,4,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,4,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,4,21,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Simei,2021,4,22,     2.6,     1.6,     2.0,     2.6,-,-,-,-,-
Simei,2021,4,23,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Simei,2021,4,24,    18.8,     4.0,     7.8,    13.2,-,-,-,-,-
Simei,2021,4,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,4,26,     0.6,     0.4,     0.6,     0.6,-,-,-,-,-
Simei,2021,4,27,    39.0,    29.2,    38.0,    39.0,-,-,-,-,-
Simei,2021,4,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,4,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,4,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
