Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Simei,2021,5,1,     1.6,     1.0,     1.2,     1.2,-,-,-,-,-
Simei,2021,5,2,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Simei,2021,5,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,5,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Simei,2021,5,6,     2.0,     1.0,     1.4,     2.0,-,-,-,-,-
Simei,2021,5,7,     5.8,     5.8,     5.8,     5.8,-,-,-,-,-
Simei,2021,5,8,     1.6,     1.0,     1.0,     1.4,-,-,-,-,-
Simei,2021,5,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,11,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Simei,2021,5,12,     0.0,     0.0,     0.2,     0.2,-,-,-,-,-
Simei,2021,5,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,14,    47.2,    24.6,    37.8,    44.6,-,-,-,-,-
Simei,2021,5,15,    54.6,    24.8,    30.6,    46.6,-,-,-,-,-
Simei,2021,5,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,17,    12.0,    10.4,    12.0,    12.0,-,-,-,-,-
Simei,2021,5,18,    32.2,    12.4,    18.8,    19.8,-,-,-,-,-
Simei,2021,5,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,21,    24.4,    21.0,    24.0,    24.4,-,-,-,-,-
Simei,2021,5,22,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Simei,2021,5,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,29,    19.4,    18.6,    19.4,    19.4,-,-,-,-,-
Simei,2021,5,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2021,5,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
