Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (Central),2021,4,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,4,2,    26.2,    20.2,    23.6,    23.6,-,-,-,-,-
Choa Chu Kang (Central),2021,4,3,     9.0,     7.2,     7.6,     7.6,-,-,-,-,-
Choa Chu Kang (Central),2021,4,4,    11.2,     2.8,     4.8,     6.4,-,-,-,-,-
Choa Chu Kang (Central),2021,4,5,    47.8,    37.2,    45.8,    47.2,-,-,-,-,-
Choa Chu Kang (Central),2021,4,6,     1.6,     1.4,     1.6,     1.6,-,-,-,-,-
Choa Chu Kang (Central),2021,4,7,     4.4,     4.0,     4.0,     4.0,-,-,-,-,-
Choa Chu Kang (Central),2021,4,8,     3.2,     3.2,     3.2,     3.2,-,-,-,-,-
Choa Chu Kang (Central),2021,4,9,     4.2,     3.4,     3.4,     3.4,-,-,-,-,-
Choa Chu Kang (Central),2021,4,10,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2021,4,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,4,12,     0.6,     0.4,     0.4,     0.6,-,-,-,-,-
Choa Chu Kang (Central),2021,4,13,    10.0,     7.0,     7.0,     7.0,-,-,-,-,-
Choa Chu Kang (Central),2021,4,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,4,15,     3.2,     0.8,     1.4,     2.4,-,-,-,-,-
Choa Chu Kang (Central),2021,4,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,4,17,    88.4,    32.0,    53.0,    64.6,-,-,-,-,-
Choa Chu Kang (Central),2021,4,18,    25.2,    24.4,    25.2,    25.2,-,-,-,-,-
Choa Chu Kang (Central),2021,4,19,    12.0,    11.8,    11.8,    11.8,-,-,-,-,-
Choa Chu Kang (Central),2021,4,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,4,21,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2021,4,22,     1.2,     0.6,     0.8,     1.2,-,-,-,-,-
Choa Chu Kang (Central),2021,4,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,4,24,    18.0,     8.2,     8.2,     8.8,-,-,-,-,-
Choa Chu Kang (Central),2021,4,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2021,4,26,    23.2,    13.2,    16.0,    16.4,-,-,-,-,-
Choa Chu Kang (Central),2021,4,27,    15.2,     8.8,    13.4,    14.6,-,-,-,-,-
Choa Chu Kang (Central),2021,4,28,     4.4,     2.2,     4.0,     4.2,-,-,-,-,-
Choa Chu Kang (Central),2021,4,29,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2021,4,30,    22.4,    13.0,    13.0,    13.0,-,-,-,-,-
