Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2021,1,1,   123.0,    19.4,    33.8,    54.6,-,-,-,-,-
Punggol,2021,1,2,   168.8,    22.2,    33.0,    59.4,-,-,-,-,-
Punggol,2021,1,3,     4.8,     1.4,     2.0,     2.8,-,-,-,-,-
Punggol,2021,1,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,6,     1.2,     1.2,     1.2,     1.2,-,-,-,-,-
Punggol,2021,1,7,     5.0,     2.2,     2.4,     3.0,-,-,-,-,-
Punggol,2021,1,8,    26.2,    13.0,    15.4,    16.2,-,-,-,-,-
Punggol,2021,1,9,    33.8,    13.6,    18.0,    18.0,-,-,-,-,-
Punggol,2021,1,10,   139.6,    16.2,    29.0,    39.4,-,-,-,-,-
Punggol,2021,1,11,     2.6,     0.6,     0.8,     1.6,-,-,-,-,-
Punggol,2021,1,12,    22.0,    10.0,    10.2,    10.4,-,-,-,-,-
Punggol,2021,1,13,     1.6,     0.8,     0.8,     0.8,-,-,-,-,-
Punggol,2021,1,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,21,     6.2,     3.0,     4.2,     6.2,-,-,-,-,-
Punggol,2021,1,22,    10.6,    10.2,    10.6,    10.6,-,-,-,-,-
Punggol,2021,1,23,    21.8,    12.0,    20.8,    21.8,-,-,-,-,-
Punggol,2021,1,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,28,    18.4,    16.2,    17.6,    18.4,-,-,-,-,-
Punggol,2021,1,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,1,31,     5.2,     2.2,     2.2,     4.2,-,-,-,-,-
