Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (Central),2022,12,1,     9.4,     3.6,     4.8,     7.6,-,-,-,-,-
Choa Chu Kang (Central),2022,12,2,     4.2,     2.2,     2.2,     2.8,-,-,-,-,-
Choa Chu Kang (Central),2022,12,3,     2.2,     1.0,     1.8,     2.0,-,-,-,-,-
Choa Chu Kang (Central),2022,12,4,    25.0,    21.4,    23.2,    24.6,-,-,-,-,-
Choa Chu Kang (Central),2022,12,5,    20.2,    16.6,    17.4,    17.4,-,-,-,-,-
Choa Chu Kang (Central),2022,12,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,12,7,    10.0,     9.6,     9.8,     9.8,-,-,-,-,-
Choa Chu Kang (Central),2022,12,8,    44.0,    37.2,    42.8,    43.6,-,-,-,-,-
Choa Chu Kang (Central),2022,12,9,     7.2,     5.4,     6.2,     6.2,-,-,-,-,-
Choa Chu Kang (Central),2022,12,10,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2022,12,11,    31.6,     8.2,    14.6,    24.4,-,-,-,-,-
Choa Chu Kang (Central),2022,12,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,12,13,     3.0,     0.8,     1.2,     1.6,-,-,-,-,-
Choa Chu Kang (Central),2022,12,14,     1.4,     0.8,     1.0,     1.0,-,-,-,-,-
Choa Chu Kang (Central),2022,12,15,     2.6,     0.6,     0.6,     1.2,-,-,-,-,-
Choa Chu Kang (Central),2022,12,16,    11.4,     7.0,     8.6,    10.8,-,-,-,-,-
Choa Chu Kang (Central),2022,12,17,    31.6,    29.8,    31.4,    31.6,-,-,-,-,-
Choa Chu Kang (Central),2022,12,18,     5.8,     5.4,     5.8,     5.8,-,-,-,-,-
Choa Chu Kang (Central),2022,12,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,12,20,    13.8,    10.2,    12.8,    13.8,-,-,-,-,-
Choa Chu Kang (Central),2022,12,21,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2022,12,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,12,23,    16.4,     9.0,     9.2,     9.2,-,-,-,-,-
Choa Chu Kang (Central),2022,12,24,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2022,12,25,     0.8,     0.6,     0.6,     0.6,-,-,-,-,-
Choa Chu Kang (Central),2022,12,26,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2022,12,27,     4.2,     3.4,     4.0,     4.0,-,-,-,-,-
Choa Chu Kang (Central),2022,12,28,     1.2,     1.2,     1.2,     1.2,-,-,-,-,-
Choa Chu Kang (Central),2022,12,29,     2.4,     2.2,     2.2,     2.4,-,-,-,-,-
Choa Chu Kang (Central),2022,12,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,12,31,     1.2,     1.0,     1.2,     1.2,-,-,-,-,-
