Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (Central),2022,10,1,     5.2,     3.6,     4.6,     5.2,-,-,-,-,-
Choa Chu Kang (Central),2022,10,2,    22.2,     7.0,    12.0,    17.8,-,-,-,-,-
Choa Chu Kang (Central),2022,10,3,    46.2,    30.8,    41.4,    45.8,-,-,-,-,-
Choa Chu Kang (Central),2022,10,4,    37.0,    25.8,    35.6,    36.2,-,-,-,-,-
Choa Chu Kang (Central),2022,10,5,    69.8,    28.6,    42.4,    58.6,-,-,-,-,-
Choa Chu Kang (Central),2022,10,6,    32.2,    20.4,    28.4,    30.2,-,-,-,-,-
Choa Chu Kang (Central),2022,10,7,    18.6,    12.0,    14.6,    15.2,-,-,-,-,-
Choa Chu Kang (Central),2022,10,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,10,9,     3.4,     3.0,     3.2,     3.4,-,-,-,-,-
Choa Chu Kang (Central),2022,10,10,    12.2,     5.2,     7.2,     8.2,-,-,-,-,-
Choa Chu Kang (Central),2022,10,11,     7.0,     4.4,     5.0,     7.0,-,-,-,-,-
Choa Chu Kang (Central),2022,10,12,    12.8,    12.2,    12.2,    12.4,-,-,-,-,-
Choa Chu Kang (Central),2022,10,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,10,14,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2022,10,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,10,16,    45.6,    13.8,    17.8,    23.4,-,-,-,-,-
Choa Chu Kang (Central),2022,10,17,     9.8,     7.2,     9.0,     9.6,-,-,-,-,-
Choa Chu Kang (Central),2022,10,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,10,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,10,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,10,21,    11.4,     5.2,     7.6,    10.4,-,-,-,-,-
Choa Chu Kang (Central),2022,10,22,     2.8,     1.2,     1.8,     2.2,-,-,-,-,-
Choa Chu Kang (Central),2022,10,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,10,24,     0.4,     0.2,     0.4,     0.4,-,-,-,-,-
Choa Chu Kang (Central),2022,10,25,    46.6,    32.8,    40.2,    43.2,-,-,-,-,-
Choa Chu Kang (Central),2022,10,26,     6.8,     1.8,     3.0,     5.0,-,-,-,-,-
Choa Chu Kang (Central),2022,10,27,     2.2,     1.8,     2.0,     2.2,-,-,-,-,-
Choa Chu Kang (Central),2022,10,28,     2.0,     0.6,     1.0,     1.0,-,-,-,-,-
Choa Chu Kang (Central),2022,10,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,10,30,    49.8,    30.0,    36.4,    49.6,-,-,-,-,-
Choa Chu Kang (Central),2022,10,31,     3.6,     3.0,    31.8,    40.4,-,-,-,-,-
