Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2021,5,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,5,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,5,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,5,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,5,5,     3.8,     2.6,     2.8,     2.8,-,-,-,-,-
Punggol,2021,5,6,    17.8,    12.6,    15.0,    16.8,-,-,-,-,-
Punggol,2021,5,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,5,8,     3.4,     3.0,     3.0,     3.0,-,-,-,-,-
Punggol,2021,5,9,    59.4,    33.4,    52.2,    58.6,-,-,-,-,-
Punggol,2021,5,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,5,11,     5.6,     5.4,     5.6,     5.6,-,-,-,-,-
Punggol,2021,5,12,    29.0,    17.4,    21.6,    22.4,-,-,-,-,-
Punggol,2021,5,13,    13.6,    13.0,    13.2,    13.6,-,-,-,-,-
Punggol,2021,5,14,    28.8,    27.2,    28.8,    28.8,-,-,-,-,-
Punggol,2021,5,15,     1.8,     1.2,     1.2,     1.8,-,-,-,-,-
Punggol,2021,5,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,5,17,    40.0,    25.8,    37.8,    38.8,-,-,-,-,-
Punggol,2021,5,18,    51.4,    18.4,    34.2,    44.8,-,-,-,-,-
Punggol,2021,5,19,     3.6,     3.4,     3.6,     3.6,-,-,-,-,-
Punggol,2021,5,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,5,21,     8.4,     7.4,     8.2,     8.2,-,-,-,-,-
Punggol,2021,5,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,5,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,5,24,     2.6,     2.4,     2.4,     2.6,-,-,-,-,-
Punggol,2021,5,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,5,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,5,27,     2.8,     2.2,     2.6,     2.8,-,-,-,-,-
Punggol,2021,5,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,5,29,     7.4,     6.8,     7.0,     7.0,-,-,-,-,-
Punggol,2021,5,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2021,5,31,     3.4,     2.2,     2.2,     2.2,-,-,-,-,-
