Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (Central),2022,4,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,4,2,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2022,4,3,    20.6,    13.0,    13.4,    20.4,-,-,-,-,-
Choa Chu Kang (Central),2022,4,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,4,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,4,6,     1.4,     0.6,     0.8,     1.4,-,-,-,-,-
Choa Chu Kang (Central),2022,4,7,     2.4,     1.8,     1.8,     1.8,-,-,-,-,-
Choa Chu Kang (Central),2022,4,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,4,9,     2.8,     2.8,     2.8,     2.8,-,-,-,-,-
Choa Chu Kang (Central),2022,4,10,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Choa Chu Kang (Central),2022,4,11,    18.4,    17.2,    18.2,    18.2,-,-,-,-,-
Choa Chu Kang (Central),2022,4,12,    11.8,    11.8,    11.8,    11.8,-,-,-,-,-
Choa Chu Kang (Central),2022,4,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,4,14,     5.4,     3.6,     5.2,     5.4,-,-,-,-,-
Choa Chu Kang (Central),2022,4,15,    15.8,    13.8,    13.8,    14.4,-,-,-,-,-
Choa Chu Kang (Central),2022,4,16,     4.4,     4.4,     4.4,     4.4,-,-,-,-,-
Choa Chu Kang (Central),2022,4,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,4,18,    15.6,     2.8,     4.2,     7.2,-,-,-,-,-
Choa Chu Kang (Central),2022,4,19,     4.8,     4.2,     4.4,     4.4,-,-,-,-,-
Choa Chu Kang (Central),2022,4,20,     3.2,     1.6,     3.2,     3.2,-,-,-,-,-
Choa Chu Kang (Central),2022,4,21,    10.0,     4.8,     5.0,     7.4,-,-,-,-,-
Choa Chu Kang (Central),2022,4,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,4,23,     6.8,     6.8,     6.8,     6.8,-,-,-,-,-
Choa Chu Kang (Central),2022,4,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,4,25,    18.4,     9.8,    12.0,    12.2,-,-,-,-,-
Choa Chu Kang (Central),2022,4,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,4,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,4,28,     1.4,     1.2,     1.4,     1.4,-,-,-,-,-
Choa Chu Kang (Central),2022,4,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2022,4,30,    13.4,    13.4,    13.4,    13.4,-,-,-,-,-
