Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Simei,2022,9,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,2,     2.2,     1.2,     2.0,     2.2,-,-,-,-,-
Simei,2022,9,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,4,     0.8,     0.4,     0.6,     0.6,-,-,-,-,-
Simei,2022,9,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,7,     2.0,     1.6,     1.6,     2.0,-,-,-,-,-
Simei,2022,9,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,9,     2.8,     1.4,     2.2,     2.6,-,-,-,-,-
Simei,2022,9,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,11,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Simei,2022,9,12,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Simei,2022,9,13,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Simei,2022,9,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,17,     2.2,     2.2,     2.2,     2.2,-,-,-,-,-
Simei,2022,9,18,    35.4,     9.6,    15.2,    23.6,-,-,-,-,-
Simei,2022,9,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,20,     3.6,     3.4,     3.4,     3.6,-,-,-,-,-
Simei,2022,9,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,22,     7.0,     3.0,     3.8,     6.0,-,-,-,-,-
Simei,2022,9,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,24,     5.2,     5.0,     5.0,     5.0,-,-,-,-,-
Simei,2022,9,25,    41.6,    17.0,    30.0,    37.2,-,-,-,-,-
Simei,2022,9,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,9,29,    34.0,    25.2,    33.8,    34.0,-,-,-,-,-
Simei,2022,9,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
