Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Simei,2022,3,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,3,2,    92.6,    27.4,    46.6,    69.8,-,-,-,-,-
Simei,2022,3,3,    42.4,    14.6,    19.0,    22.4,-,-,-,-,-
Simei,2022,3,4,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Simei,2022,3,5,     2.8,     2.4,     2.6,     2.6,-,-,-,-,-
Simei,2022,3,6,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Simei,2022,3,7,     6.0,     3.8,     4.8,     6.0,-,-,-,-,-
Simei,2022,3,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,3,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,3,10,     6.4,     5.4,     6.0,     6.4,-,-,-,-,-
Simei,2022,3,11,     5.0,     4.0,     4.0,     4.8,-,-,-,-,-
Simei,2022,3,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,3,13,     4.8,     2.6,     3.4,     4.4,-,-,-,-,-
Simei,2022,3,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,3,15,    14.8,     7.6,    10.0,    11.8,-,-,-,-,-
Simei,2022,3,16,     2.4,     2.4,     2.4,     2.4,-,-,-,-,-
Simei,2022,3,17,    10.0,     9.6,    10.0,    10.0,-,-,-,-,-
Simei,2022,3,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,3,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,3,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,3,21,     3.0,     1.8,     2.6,     3.0,-,-,-,-,-
Simei,2022,3,22,    15.4,    14.8,    15.4,    15.4,-,-,-,-,-
Simei,2022,3,23,     3.4,     3.4,     3.4,     3.4,-,-,-,-,-
Simei,2022,3,24,    13.0,    12.2,    13.0,    13.0,-,-,-,-,-
Simei,2022,3,25,    50.0,    22.6,    43.6,    49.8,-,-,-,-,-
Simei,2022,3,26,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Simei,2022,3,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,3,28,    38.2,    31.0,    33.0,    34.0,-,-,-,-,-
Simei,2022,3,29,    26.4,    25.0,    26.0,    26.4,-,-,-,-,-
Simei,2022,3,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Simei,2022,3,31,     3.6,     3.4,     3.6,     3.6,-,-,-,-,-
